optimizer,seed,data_seed,tokens,data_exposure,iteration,val_loss,val_perplexity,val_accuracy,num_eval_batches,train_time_seconds,mean_tokens_per_second,peak_memory_bytes,experiment_dir
muon,1,1337,16777216,0.03125047684443427,256,5.1458635330200195,171.71911191532246,0.21457481384277344,64,1163.3150507089977,230750.43672511456,6117368832,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_muon_seed1_lrscale3_tokens268435456
muon,1,1337,33554432,0.06250095368886854,512,4.69781494140625,109.70684704341419,0.2564544677734375,64,1163.3150507089977,230750.43672511456,6117368832,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_muon_seed1_lrscale3_tokens268435456
muon,1,1337,67108864,0.1250019073777371,1024,4.402804374694824,81.67936610685706,0.28281402587890625,64,1163.3150507089977,230750.43672511456,6117368832,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_muon_seed1_lrscale3_tokens268435456
muon,1,1337,134217728,0.2500038147554742,2048,4.192287445068359,66.17380072145147,0.3006629943847656,64,1163.3150507089977,230750.43672511456,6117368832,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_muon_seed1_lrscale3_tokens268435456
muon,1,1337,268435456,0.5000076295109483,4096,4.0437235832214355,57.03817971687212,0.3136253356933594,64,1163.3150507089977,230750.43672511456,6117368832,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_muon_seed1_lrscale3_tokens268435456
muon,2,1337,16777216,0.03125047684443427,256,5.148187637329102,172.1186689007199,0.21408653259277344,64,1180.8367941000026,227326.46657118542,6117368832,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_muon_seed2_lrscale3_tokens268435456
muon,2,1337,33554432,0.06250095368886854,512,4.698286056518555,109.75854373879675,0.2569561004638672,64,1180.8367941000026,227326.46657118542,6117368832,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_muon_seed2_lrscale3_tokens268435456
muon,2,1337,67108864,0.1250019073777371,1024,4.398398399353027,81.32028071698167,0.28228759765625,64,1180.8367941000026,227326.46657118542,6117368832,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_muon_seed2_lrscale3_tokens268435456
muon,2,1337,134217728,0.2500038147554742,2048,4.190174102783203,66.03410059327533,0.3003520965576172,64,1180.8367941000026,227326.46657118542,6117368832,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_muon_seed2_lrscale3_tokens268435456
muon,2,1337,268435456,0.5000076295109483,4096,4.04427433013916,57.06960194946216,0.3135662078857422,64,1180.8367941000026,227326.46657118542,6117368832,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_muon_seed2_lrscale3_tokens268435456
soap,1,1337,16777216,0.03125047684443427,256,5.308291912078857,202.0041701392595,0.20886802673339844,64,1276.103207307998,210355.6001291445,6559245312,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_soap_seed1_lrscale1_tokens268435456
soap,1,1337,33554432,0.06250095368886854,512,4.7151780128479,111.62832669491085,0.25631141662597656,64,1276.103207307998,210355.6001291445,6559245312,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_soap_seed1_lrscale1_tokens268435456
soap,1,1337,67108864,0.1250019073777371,1024,4.377788543701172,79.66143558302677,0.2838420867919922,64,1276.103207307998,210355.6001291445,6559245312,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_soap_seed1_lrscale1_tokens268435456
soap,1,1337,134217728,0.2500038147554742,2048,4.175849437713623,65.09492757975597,0.2997779846191406,64,1276.103207307998,210355.6001291445,6559245312,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_soap_seed1_lrscale1_tokens268435456
soap,1,1337,268435456,0.5000076295109483,4096,4.037361145019531,56.67643009174277,0.3121681213378906,64,1276.103207307998,210355.6001291445,6559245312,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_soap_seed1_lrscale1_tokens268435456
soap,2,1337,16777216,0.03125047684443427,256,5.2917256355285645,198.68528213612078,0.21008682250976562,64,1281.7409867240024,209430.34418060805,6559245312,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_soap_seed2_lrscale1_tokens268435456
soap,2,1337,33554432,0.06250095368886854,512,4.710265636444092,111.08131137740004,0.25705718994140625,64,1281.7409867240024,209430.34418060805,6559245312,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_soap_seed2_lrscale1_tokens268435456
soap,2,1337,67108864,0.1250019073777371,1024,4.380484580993652,79.87649541386698,0.28352928161621094,64,1281.7409867240024,209430.34418060805,6559245312,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_soap_seed2_lrscale1_tokens268435456
soap,2,1337,134217728,0.2500038147554742,2048,4.179245948791504,65.31639897553266,0.3002758026123047,64,1281.7409867240024,209430.34418060805,6559245312,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_soap_seed2_lrscale1_tokens268435456
soap,2,1337,268435456,0.5000076295109483,4096,4.037126541137695,56.66313514976101,0.312255859375,64,1281.7409867240024,209430.34418060805,6559245312,/root/autodl-tmp/llm-optimizer-results/formal/sub1_confirm_token-bin_soap_seed2_lrscale1_tokens268435456
adafactor,0,1337,16777216,0.03125047684443427,256,5.914063930511475,370.2061276976988,0.18108749389648438,64,1182.1543548539998,227073.10166205216,6040051712,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_adafactor_seed0_lrscale0p3_tokens268435456
adafactor,0,1337,33554432,0.06250095368886854,512,5.436375141143799,229.60753557404612,0.2048778533935547,64,1182.1543548539998,227073.10166205216,6040051712,/root/autodl-tmp/llm-optimizer-results/formal/sub1_main_token-bin_adafactor_seed0_lrscale0p3_tokens268435456
